sku,name,category,subcategory,price_idr,stock_status,description,specifications,image_url,product_url,tokopedia_url,shopee_url,scraped_at
122890,VenomRX DDR3 PC12800 4GB,RAM,PC - Desktop,175000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/10/30/39999c54-0324-4380-a372-d9eece886331.jpg,https://enterkomputer.com/detail/122890/VenomRX-DDR3-PC12800-4GB,https://www.tokopedia.com/enterkomputer/venomrx-ddr3-pc12800-4gb,https://shopee.co.id/product/43570421/6704151394,2026-05-10T18:18:53.223771+00:00
139342,ADATA SU800 256GB SATA III ( R/W  Up to 560 / 520MB/s ),SSD,Internal SSD (SOLID STATE DISK),1020000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/4/ac74f955-109a-4437-bcb1-9dafbad181a4.png,https://enterkomputer.com/detail/139342/ADATA-SU800-256GB-SATA-III-RW-Up-to-560-520MBs,https://tokopedia.link/K9VGRHVQaCb,https://shopee.co.id/product/43570421/1943988548,2026-05-10T14:30:43.838591+00:00
139343,ADATA SU800 512GB SATA III ( R/W  Up to 560 / 520MB/s ),SSD,Internal SSD (SOLID STATE DISK),1520000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/10/11/b7621470-7c8b-4738-bdf9-591a0fb6c0a0.jpg,https://enterkomputer.com/detail/139343/ADATA-SU800-512GB-SATA-III-RW-Up-to-560-520MBs,https://tokopedia.link/kncGmhJQaCb,https://shopee.co.id/product/43570421/1974882242,2026-05-10T14:30:52.074608+00:00
139600,WD Blue SA510 SATA SSD 250GB SATA III - R 555MB/s W 440MB/s,SSD,Internal SSD (SOLID STATE DISK),1440000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/10/11/def0bbc4-14be-468b-be1b-4c3f6028b56b.jpg,https://enterkomputer.com/detail/139600/WD-Blue-SA510-SATA-SSD-250GB-SATA-III-R-555MBs-W-440MBs,https://tokopedia.link/uDYH5nWz7Bb,https://s.shopee.co.id/60DUEs6p7Z,2026-05-10T15:45:22.662114+00:00
139601,WD Blue SA510 SATA SSD 500GB SATA III - R 560MB/s W 510MB/s,SSD,Internal SSD (SOLID STATE DISK),2460000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/10/11/9acbbc15-5ef8-49ad-bb2e-d38708bcedad.jpg,https://enterkomputer.com/detail/139601/WD-Blue-SA510-SATA-SSD-500GB-SATA-III-R-560MBs-W-510MBs,https://www.tokopedia.com/enterkomputer/wd-blue-sa510-sata-ssd-500gb-sata-iii-ssd-500gb-1731216590425654864,https://shopee.co.id/product/43570421/1869760389/,2026-05-10T15:45:28.598361+00:00
150929,WD Blue SA510 SSD SATA 1TB SATA III - R 560MB/s W 520MB/s,SSD,Internal SSD (SOLID STATE DISK),4530000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/10/11/4f296142-cda1-41ce-9404-eebb95868c4e.jpg,https://enterkomputer.com/detail/150929/WD-Blue-SA510-SSD-SATA-1TB-SATA-III-R-560MBs-W-520MBs,https://www.tokopedia.com/enterkomputer/wdc-blue-pc-ssd-1tb,https://s.shopee.co.id/3LCj3xUmi1,2026-05-10T15:45:33.697937+00:00
152131,IR8012G 12U Width:600mm Depth:800mm,Server,Enclose Rack Series,4550000,in_stock,,{},,https://enterkomputer.com/detail/152131/IR8012G-12U-Width600mm-Depth800mm,,,2026-05-10T11:19:57.558607+00:00
152137,"FS60 Fixed Shelf, Depth 400mm",Server,Enclose Rack Series,230000,in_stock,,{},,https://enterkomputer.com/detail/152137/FS60-Fixed-Shelf-Depth-400mm,,,2026-05-10T11:20:01.001720+00:00
155760,ThinkServer TS460 44IA,Server,,17900000,in_stock,"Intel Xeon 4C E3-1230v6, RAM 8GB, 1TB Sata, Tower 4U",{},,https://enterkomputer.com/detail/155760/ThinkServer-TS460-44IA,,,2026-05-10T11:33:47.184489+00:00
155763,HP Proliant DL380 G10 826567-B21,Server,,185500000,in_stock,"2x 16C Xeon Gold 6130, 64GB, 300GB SAS, DVDRW, Rack 2U",{},,https://enterkomputer.com/detail/155763/HP-Proliant-DL380-G10-826567-B21,,,2026-05-10T11:19:05.593872+00:00
